"id","name","isTraded","trueOdds","formatDecimal","formatAmerican","status"
"973bd804-6560-3c4b-b74f-bfd079f31a2c","Stone, Brandon","True","125.0","125.0","12400","ONGOING"
"92b38143-dbbd-3f45-89f1-bceb34c79d4e","Jordan, Matthew","True","125.0","125.0","12400","ONGOING"
"54ca50f9-4a51-3a33-bf6b-c29fc7b19781","Forrest, Grant","True","125.0","125.0","12400","ONGOING"
"d2e360e5-6c93-3787-8f14-6a923b189350","Larrazabal, Pablo","True","125.0","125.0","12400","ONGOING"
"3f6f7d70-f751-3510-8092-d5eca4ed3cd6","Morrison, James","True","125.0","125.0","12400","ONGOING"
"b403777c-0b58-3cf8-aaa3-2a3865278889","Baldwin, Matthew","False","165.0","165.0","16400","ONGOING"
"1c2ce0d6-3dc3-308a-964d-e87538be8ece","Lorenzo-Vera, Michael","True","170.0","170.0","16900","ONGOING"
"2e902db3-c02d-3b6f-9756-47556848b0a2","Wang Jeung-hun","True","170.0","170.0","16900","ONGOING"
"8e10abed-a699-3c39-a16b-d6aa0d02e747","Kodaira, Satoshi","True","180.0","180.0","17900","ONGOING"
"b4b404ec-993a-313d-93c2-10d5778cd5f8","Elvira, Manuel","True","180.0","180.0","17900","ONGOING"
"f3ae4c68-f30b-39c3-b0e7-f55e69e1ffb6","Vaillant, Tom","True","180.0","180.0","17900","ONGOING"
"44ea8a11-b41c-3412-8e03-79370f234931","Suwannarut, Sarit","True","180.0","180.0","17900","ONGOING"
"2553aceb-560b-33c3-bdc9-7e63973a47e3","Paratore, Renato","False","185.0","185.0","18400","ONGOING"
"c8c9826d-64ed-3d61-9854-ee6055ae3408","Kho, Taichi","False","195.0","195.0","19400","ONGOING"
"7ba679f0-25ee-32e2-973e-8b7ba7b6aa2a","Wu, Ashun","True","210.0","210.0","20900","ONGOING"
"e2ab2dc7-e624-3b1e-bb20-2dadde19d06d","Saddier, Adrien","False","210.0","210.0","20900","ONGOING"
"0e8a8c36-05db-3007-952f-c0bbc8638495","Scalise, Lorenzo","True","250.0","250.0","24900","ONGOING"
"69e8c498-1389-3392-af46-445bd028a70c","Long, Hurly","True","250.0","250.0","24900","ONGOING"
"66ee91be-2d61-3ec2-ab16-2bb632ef509e","Hidalgo, Angel","True","250.0","250.0","24900","ONGOING"
"177e9b45-ced2-3950-8585-bcf5ff05db98","Cabrera-Bello, Rafael","True","250.0","250.0","24900","ONGOING"
"558aba28-5a1b-3999-ac31-a18b6ca265dc","Dantorp, Jens","False","260.0","260.0","25900","ONGOING"
"ad41db5f-ee85-3e36-91b7-54bb1e949b14","Zhou, Yanhan","False","270.0","270.0","26900","ONGOING"
"71a8985f-0569-3752-afef-7243010b0716","Nemecz, Lukas","False","270.0","270.0","26900","ONGOING"
