"outcome_id","name","isTraded","trueOdds","foramtDecimal","formatAmerican","status","trueOdds"
"4608cbb8-1f49-3534-b4ae-e0aa389ae128","3rd Period Stars Total Goals","NA","0.0","0.0","0.0","OPEN","0.0"
"f83615ad-ea63-3f6a-a282-fb9c50627c87","3rd Period Both Teams To Score","NA","0.0","0.0","0.0","OPEN","0.0"
"dee6125c-95c2-3349-bcb5-ce6ce3e4f62e","3rd Period Correct Score","NA","0.0","0.0","0.0","OPEN","0.0"
"d6461699-875b-3475-a4f0-ba828a76f3c6","3rd Period Winner","NA","0.0","0.0","0.0","OPEN","0.0"
"4a93dc2c-834f-3bf3-b2e4-6496f866409a","3rd Period Exact Goals","NA","0.0","0.0","0.0","OPEN","0.0"
"15c4d6d4-1d9a-3d8a-bc3e-97258712ef0a","3rd Period Golden Knights To Record A Shutout","NA","0.0","0.0","0.0","OPEN","0.0"
"bdcd38b5-ce58-372e-874d-400ecd0d98c0","3rd Period Golden Knights Exact Goals","NA","0.0","0.0","0.0","OPEN","0.0"
"31393f54-b6b5-3a8c-9a70-e257d7540a22","3rd Period Golden Knights Total Goals","NA","0.0","0.0","0.0","OPEN","0.0"
"71a5f987-3d73-3f67-9e7e-16f562d3dac8","3rd Period Which Team Will Score","NA","0.0","0.0","0.0","OPEN","0.0"
"f331ba96-7f36-3dc0-a9f7-94e70e92cd4e","3rd Period 1st Goal","NA","0.0","0.0","0.0","OPEN","0.0"
"357d1d7a-b3bc-3f0f-b643-f38da0ae5117","Hole 13 Jarvis, Casey vs. Paul, Yannik","NA","0.0","0.0","0.0","OPEN","0.0"
"2717bf99-7c81-3d34-8d7a-c1779e5a86bb","Hole 13 Li, Haotong vs. Jarvis, Casey","NA","0.0","0.0","0.0","OPEN","0.0"
"fed6440b-4c65-3f7d-960a-10cb8d96139f","Hole 13 Li, Haotong vs. Paul, Yannik","NA","0.0","0.0","0.0","OPEN","0.0"
"443b944d-31d9-3626-b483-44a783de3847","Hole 13 Winner","NA","0.0","0.0","0.0","OPEN","0.0"
"68efad5b-432a-3e91-a392-f5bee989233f","Holes 13-15 Jarvis, Casey vs. Paul, Yannik Most Birdies","NA","0.0","0.0","0.0","OPEN","0.0"
"2daff538-51c2-3f3f-a146-904a71a4ff3d","Holes 13-15 Li, Haotong vs. Jarvis, Casey Most Birdies","NA","0.0","0.0","0.0","OPEN","0.0"
"2d0f072a-8e4f-3061-87ff-b22728e6e511","Holes 13-15 Li, Haotong vs. Paul, Yannik Most Birdies","NA","0.0","0.0","0.0","OPEN","0.0"
"a9756a38-3866-36cd-85ff-b50e77ec7068","Holes 13-15 Jarvis, Casey vs. Paul, Yannik Most Bogeys","NA","0.0","0.0","0.0","OPEN","0.0"
"f3034407-9c90-3bf4-87b0-7f46a11ccda0","Holes 13-15 Li, Haotong vs. Jarvis, Casey Most Bogeys","NA","0.0","0.0","0.0","OPEN","0.0"
"a7bddced-8362-3185-854f-a3543fc2d1f9","Holes 13-15 Li, Haotong vs. Paul, Yannik Most Bogeys","NA","0.0","0.0","0.0","OPEN","0.0"
"fa3f0499-d512-3416-8176-9e785b85b09e","Holes 13-15 Jarvis, Casey vs. Paul, Yannik Most Pars","NA","0.0","0.0","0.0","OPEN","0.0"
"c8d7402a-7089-375e-b80d-2a279175f843","Holes 13-15 Li, Haotong vs. Jarvis, Casey Most Pars","NA","0.0","0.0","0.0","OPEN","0.0"
"429ef766-9f8a-33f9-95ba-680915d807f6","Holes 13-15 Li, Haotong vs. Paul, Yannik Most Pars","NA","0.0","0.0","0.0","OPEN","0.0"
"3200b089-5b2d-3e40-be34-1609d7231e5b","Holes 13-15 Winner","NA","0.0","0.0","0.0","OPEN","0.0"
"74f6f227-31de-312f-8315-ce9174854996","Holes 13-15 Most Birdies","NA","0.0","0.0","0.0","OPEN","0.0"
"42ff3845-71aa-3079-95f0-029b35b45723","Holes 13-15 Most Pars","NA","0.0","0.0","0.0","OPEN","0.0"
